timestamp,count
2014-12-10,21129
2014-12-11,26560
2014-12-12,31094
2014-12-13,38477
2014-12-14,40851
2014-12-15,52727
2014-12-16,55391
2014-12-17,59177
2014-12-18,61884
2014-12-19,74745
2014-12-20,78170
2014-12-21,82104
2014-12-22,83008
2014-12-23,87254
2014-12-24,88183
2014-12-25,88565
2014-12-26,89259
2014-12-27,91755
2014-12-28,97147
2014-12-29,28554
2014-12-30,30700
2014-12-31,30485
2014-12-07,2257
2014-12-08,8873
2014-12-09,17799
2015-01-01,31955
2015-01-10,209551
2015-01-11,216991
2015-01-12,221259
2015-01-13,139279
2015-01-14,152811
2015-01-15,249111
2015-01-16,170469
2015-01-17,154362
2015-01-18,160646
2015-01-19,247774
2015-01-2,121533
2015-01-20,125377
2015-01-21,150681
2015-01-22,81755
2015-01-23,340054
2015-01-24,280613
2015-01-25,363193
2015-01-26,282356
2015-01-28,321512
2015-01-29,158742
2015-01-03,132247
2015-01-30,337302
2015-01-31,327700
2015-01-04,137907
2015-01-05,146058
2015-01-06,153126
2015-01-07,154912
2015-01-08,160104
2015-01-09,183539
2015-02-01,21435
2015-02-10,139139
2015-02-11,138989
2015-02-12,645169
2015-02-13,458712
2015-02-14,479739
2015-02-15,184167
2015-02-16,548856
2015-02-17,605803
2015-02-18,497989
2015-02-19,327676
2015-02-02,401098
2015-02-20,59925
2015-02-21,63631
2015-02-22,63392
2015-02-23,64516
2015-02-03,416729
2015-02-04,415927
2015-02-05,236962
2015-02-06,129317
2015-02-07,87768
2015-02-09,366659
